loopback_ip,T3_IP,BE_number,Description,BFD_IP,BFD_Destination_IP,BE_number_2_ip_address,BE_number_4_ip_address,BE_number_4_ipv6_address,metric,interface,metric_10gig
202.123.47.176,MAD-MPL-LTE-PE-RTR-176,8,TCY-MAD-90G-MPLS-BACKBONE-LINK-<CKT-ID:AESV-T25622>-<LOCAL-MUX-TCY_TNGTN_BRD_P_E56218/PORT:TS17:DHXE_4 10GE-ETY Port 4>-DEST-<TCY-MPL-LTE-PE-RTR-37-160$BE8>-<CMR:968564>,172.16.7.122,172.16.7.123,182.79.166.86,172.29.19.247,2404:a800:0:2c:172:29:19:247/127,640,1,1000
202.123.37.160,TCY-MPL-LTE-PE-RTR-37-160,8,TCY-MAD-90G-MPLS-BACKBONE-LINK-<CKT-ID:AESV-T25622>-<LOCAL-MUX-TRI_TNG_902_C6001_B/PORT:Port 1/1/4 W & 1/2/4 P>-DEST-<MAD-MPL-LTE-PE-RTR-176$BE8>-<CMR:968564>,172.16.7.123,172.16.7.122,182.79.166.87,172.29.19.246,2404:a800:0:2c:172:29:19:246/127,640,1,1000
202.123.42.120,ASN-MPL-LTE-PE-RTR-42-120,7,"""NLD-ASN-KHP-90G-MPLS-BACKBONE-LINK-<CKT-ID:AESV-T150428/AESV-T150429><LOCAL-MUX-ASL-TGWB-UGM-A-A043/PORT:1-1-1-5>-DEST-<KHP-MPL-LTE-PE-RTR-42-252$BE7>-<CMR:1110346>",172.16.8.106,172.16.8.107,182.79.162.162,172.29.17.28,2404:a800:0:2c:172:29:17:28/127,640,1,1000
202.123.42.252,KHP-MPL-LTE-PE-RTR-42-252,7,"""NLD-ASN-KHP-90G-MPLS-BACKBONE-LINK-<CKT-ID:AESV-T150428,AESV-T150429,AESV-T151410,AESV-P2P-54151-ISP-P-NC,AESV-P2P-54152-ISP-P-NC><LOCAL-MUX-KHP-TGWB-MUN-A-A050/PORT:1-1-1-6>-DEST-<ASN-MPL-LTE-PE-RTR-42-120$BE7>-<CMR:1110346>",172.16.8.107,172.16.8.106,182.79.162.163,172.29.17.29,2404:a800:0:2c:172:29:17:29/127,640,1,1000
202.123.42.151,SIL-MPL-LTE-PE-RTR-42-151,15,"""NLD-SILLIGURI-BEHRAMPUR-10G-MPLS-BACKBONE-LINK-<CKT-ID:AESV- T25117><LOCAL-MUX-SIL_TGWB_JOY_R_A509/PORT: 1-1-1-1>-DEST-<BMP-MPL-LTE-PE-RTR-42-122$BE15>-<CMR:987861>""",172.16.8.108,172.16.8.109,182.79.166.182,172.29.17.108,2404:a800:0:2c:172:29:17:108/127,640,1,1000
202.123.42.122,BMP-MPL-LTE-PE-RTR-42-122,15,"""NLD-SILLIGURI-BEHRAMPUR-10G-MPLS-BACKBONE-LINK-<CKT-ID:AESV- T25117><LOCAL-MUX-BMP_TGWB_NMT_R_A510/PORT: 1-1-1-4>-DEST-<SIL-MPL-LTE-PE-RTR-42-151$BE15>-<CMR:987861>""",172.16.8.109,172.16.8.108,182.79.166.183,172.29.17.109,2404:a800:0:2c:172:29:17:109/127,640,1,1000
202.123.42.20,MUM-CHV-MPL-LTE-PE-RTR-42-20,15,##MPLS##BACK-TO-BACK-CONNECTED-TO$MUM-CHV-MPL-LTE-PE-RTR-42-64$-$BE:15$##CMR:1137582##,172.16.14.146,172.16.14.147,182.79.158.70,172.29.18.180,2404:a800:0:2c:172:29:18:180/127,1,1,1000
202.123.42.64,MUM-CHV-MPL-LTE-PE-RTR-42-64,15,##MPLS##BACK-TO-BACK-CONNECTED-TO$MUM-CHV-MPL-LTE-PE-RTR-42-20$-$BE:15$##CMR:1137582##,172.16.14.147,172.16.14.146,182.79.158.71,172.29.18.181,2404:a800:0:2c:172:29:18:181/127,1,1,1000
202.123.37.211,MUM-MPL-LTE-PE-RTR-37-211,19,#MPLS#BACK-TO-BACK##CONNECTED-TO-$MUM-MPL-LTE-PE-RTR-37-241$-$BE19##CMR:286015##,172.16.14.148,172.16.14.149,182.79.241.182,172.29.18.182,2404:a800:0:2c:172:29:18:182/127,1,1,1000
202.123.37.241,MUM-MPL-LTE-PE-RTR-37-241,19,MPLS#BACK-TO-BACK##CONNECTED-TO-$MUM-MPL-LTE-PE-RTR-37-211$-$BE19$##CMR:286015##,172.16.14.149,172.16.14.148,182.79.241.181,172.29.18.183,2404:a800:0:2c:172:29:18:183/127,1,1,1000
