circle,number,Loopback0_IP1,route_policy1,community2,community1,net1,BE1,BE2,tag,bgp_neighbor1,bgp_neighbor2
UPE,37000,116.119.14.144,37144,1411:9999,1411:7144,49.4011.1161.1901.4144.00,104,105,3011,116.119.14.39,116.119.14.40
UPW,34000,116.119.0.63,34063,1410:9999,1410:4063,49.4010.1161.1900.0063.00,104,105,3010,116.119.0.80,116.119.0.85
HP,52000,116.119.7.40,52040,1416:9999,1416:2040,49.4016.1161.1900.7040.00,104,105,3016,116.119.7.80,116.119.7.79
AP,10000,116.119.11.203,10203,1402:9999,1402:0203,49.4002.1161.1901.1203.00,101,102,3002,116.119.11.10,116.119.11.9
UPE,37000,116.119.14.157,37157,1411:9999,1411:7157,49.4011.1161.1901.4157.00,104,105,3011,116.119.14.21,116.119.14.22
UPE,37000,116.119.14.147,37147,1411:9999,1411:7147,49.4011.1161.1901.4147.00,104,105,3011,116.119.14.50,116.119.14.49
PB,43000,116.119.2.14,43014,1413:9999,1413:3014,49.4013.1161.1900.2014.00,104,105,3013,116.119.2.66,116.119.2.67
PB,43000,116.119.2.17,43017,1413:9999,1413:3017,49.4013.1161.1900.2017.00,104,105,3013,116.119.2.78,116.119.2.79
AP,10000,116.119.11.197,10197,1402:9999,1402:0197,49.4002.1161.1901.1197.00,101,102,3002,116.119.11.35,116.119.11.5
PB,43000,116.119.2.18,43018,1413:9999,1413:3018,49.4013.1161.1900.2018.00,104,105,3013,116.119.2.76,116.119.2.77
PB,43000,116.119.2.15,43015,1413:9999,1413:3015,49.4013.1161.1900.2015.00,104,105,3013,116.119.2.70,116.119.2.71
UPW,34000,116.119.0.43,34043,1410:9999,1410:4043,49.4010.1161.1900.0043.00,104,105,3010,116.119.0.90,116.119.0.89
UPW,34000,116.119.0.45,34045,1410:9999,1410:4045,49.4010.1161.1900.0045.00,104,105,3010,116.119.0.100,116.119.0.101
PB,43000,116.119.2.30,43030,1413:9999,1413:3030,49.4013.1161.1900.2030.00,104,105,3013,116.119.2.106,116.119.2.107
AP,10000,116.119.11.196,10196,1402:9999,1402:0196,49.4002.1161.1901.1196.00,101,103,3002,116.119.11.13,116.119.11.14
PB,43000,116.119.2.19,43019,1413:9999,1413:3019,49.4013.1161.1900.2019.00,104,105,3013,116.119.2.69,116.119.2.68
AP,10000,116.119.11.188,10188,1402:9999,1402:0188,49.4002.1161.1901.1188.00,,,,,
